date;vac_statut;age;nb_PCR;nb_PCR_sympt;nb_PCR+_sympt;nb_PCR+;HC;HC_PCR+;SC;SC_PCR+;DC;DC_PCR+;pourcent_parmi_vaccines;PCR+_pourcent_omicron;PCR+_sympt_pourcent_omicron;HC_pourcent_omicron;SC_pourcent_omicron;DC_pourcent_omicron;HC_PCR+_pour_covid;SC_PCR+_pour_covid;DC_PCR+_pour_covid
2021-05-31;Non-vaccinés;[40,59];34398.7;3926.89;997.55;2283.48;4.58;3.0;3.0;2.0;1.0;0.0;;;;;;;3.0;2.0;0.0
2021-05-31;Non-vaccinés;[60,79];13977.52;992.3;225.71;654.22;15.13;11.8;18.63;15.43;10.0;8.0;;;;;;;9.8;12.75;7.0
2021-05-31;Complet entre 3 mois et 6 mois - sans rappel;[0,19];5.46;1.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;;;;;;0.0;0.0;0.0
2021-05-31;Complet entre 3 mois et 6 mois - sans rappel;[40,59];1672.56;102.48;6.0;17.46;0.02;0.0;0.0;0.0;0.0;0.0;4.45;;;;;;0.0;0.0;0.0
2021-05-31;Complet - avec 1 rappel de moins de 3 mois;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;0.0
2021-06-01;Non-vaccinés;[60,79];10658.44;835.58;155.49;485.15;14.07;9.36;8.99;6.63;7.6;6.6;;;;;;;8.36;6.63;6.6
2021-06-01;Primo dose efficace;[0,19];385.39;29.78;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;28.55;;;;;;0.0;0.0;0.0
2021-06-01;Complet de moins de 3 mois - sans rappel;[0,19];154.25;10.3;2.15;7.36;0.0;0.0;0.0;0.0;0.0;0.0;9.66;;;;;;0.0;0.0;0.0
2021-06-01;Complet de moins de 3 mois - sans rappel;[60,79];14897.36;685.79;61.72;216.0;2.32;2.28;2.45;1.2;0.06;0.06;42.32;;;;;;2.28;1.2;0.06
2021-06-01;Complet entre 3 mois et 6 mois - sans rappel;[20,39];513.77;39.76;1.2;4.12;0.0;0.0;0.0;0.0;0.0;0.0;2.21;;;;;;0.0;0.0;0.0
2021-06-01;Complet - avec 1 rappel de moins de 3 mois;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;0.0
2021-06-02;Non-vaccinés;[20,39];47127.29;5558.93;881.0;2130.53;0.0;0.0;2.0;2.0;0.0;0.0;;;;;;;0.0;1.0;0.0
2021-06-02;Non-vaccinés;[60,79];9793.44;682.76;109.9;398.4;11.34;9.44;6.0;6.0;14.25;7.72;;;;;;;8.84;6.0;7.72
2021-06-02;Primo dose récente;[20,39];7722.41;517.47;71.72;200.27;0.0;0.0;0.0;0.0;0.0;0.0;42.74;;;;;;0.0;0.0;0.0
2021-06-02;Primo dose efficace;"[80;+]";2491.2;141.81;6.5;29.4;4.88;3.78;2.23;0.2;3.91;3.2;20.09;;;;;;3.68;0.2;3.2
2021-06-02;Complet de moins de 3 mois - sans rappel;[40,59];7613.6;360.52;68.06;190.88;1.14;1.14;0.0;0.0;0.0;0.0;21.63;;;;;;1.14;0.0;0.0
2021-06-02;Complet entre 3 mois et 6 mois - sans rappel;[20,39];566.76;46.78;3.27;5.19;0.0;0.0;0.0;0.0;0.0;0.0;2.18;;;;;;0.0;0.0;0.0
2021-06-02;Complet entre 3 mois et 6 mois - sans rappel;[40,59];1736.47;66.04;1.59;7.09;0.0;0.0;0.0;0.0;0.0;0.0;4.42;;;;;;0.0;0.0;0.0
2021-06-02;Complet entre 3 mois et 6 mois - sans rappel;"[80;+]";2967.64;122.6;2.11;23.51;1.63;1.33;0.2;0.2;1.98;1.2;19.16;;;;;;1.28;0.2;1.2
2021-06-03;Non-vaccinés;[60,79];8871.23;712.02;123.17;394.82;16.09;13.73;14.23;12.23;7.18;7.18;;;;;;;12.8;12.23;6.18
2021-06-03;Primo dose récente;"[80;+]";286.82;14.64;1.12;5.54;1.12;1.06;0.07;0.07;0.0;0.0;2.42;;;;;;1.06;0.07;0.0
2021-06-03;Primo dose efficace;[0,19];608.58;39.69;0.02;7.86;0.0;0.0;0.0;0.0;0.0;0.0;31.16;;;;;;0.0;0.0;0.0
2021-06-03;Primo dose efficace;[20,39];9465.78;549.54;20.37;60.93;0.0;0.0;0.0;0.0;0.0;0.0;36.48;;;;;;0.0;0.0;0.0
2021-06-03;Primo dose efficace;[40,59];14676.3;873.86;40.41;129.58;1.0;0.0;1.0;1.0;0.16;0.0;48.11;;;;;;0.0;1.0;0.0
